date,WesternAve,MassAve,NewCharlesRiverDam
3/16/2010,3.97,1.62,1.51
6/15/2010,6.8,14.8,5.54
9/21/2010,22,13,7.18
12/21/2010,na,1.6,2.56
3/15/2011,1.67,1.35,1.93
6/21/2011,10.4,15.1,8.03
9/20/2011,1.28,4.54,1.26
12/20/2011,1.32,1.33,1.19
3/20/2012,13,11.6,11.5
6/19/2012,25.8,9.5,40.3
9/18/2012,18.8,27.3,23.7
12/18/2012,24.9,14.4,6.51
4/9/2013,12.4,18.1,18.1
6/18/2013,2.28,1.96,2.46
9/17/2013,5.15,6.65,3.08
12/17/2013,na,7.36,14.4
3/18/2014,6.89,na,10
6/17/2014,20.9,20.9,14.6
9/16/2014,33.4,53.8,43.7
12/16/2014,0.76,0.71,na
3/17/2015,na,1.95,2.08
6/16/2015,38.4,52.6,25.1
9/15/2015,6.88,39,20.2
12/15/2015,na,13.4,4.26
3/15/2016,8.5,8.46,6.82
6/21/2016,13.3,5.5,2.18
9/20/2016,26.6,50.2,42.2
12/13/2016,3.16,2.89,2.46
3/21/2017,na,7.52,na
6/20/2017,4.69,3.79,na
9/17/2017,2.22,1.73,1.32
12/12/2017,1.59,1.95,na
